索泰（ZOTAC）GeForce GTX1060-6GD5 X-GAMING OC 绝地求生/吃鸡显卡 1569-1784/8008MHz 6G/192bit,"好评如潮!电竞游戏卡, PG先锋过百帧! 有信仰耀目LOGO灯, 白金效能用料更节能!★职业吃鸡战队推荐Ti厉害★",2.2万+,索泰京东自营旗舰店,2799.00,3281156
微星（MSI）GeForce GTX 1070 GAMING X  256bit  8GB GDDR5 PCI-E 3.0 旗舰红龙 吃鸡显卡,"酷炫RGB龙魂灯,龙纹铝制合金强化背板,零噪智能风扇散热技术,非公8+2强化供电设计,PCB强化散热装甲,畅玩游戏盛宴!点我升级1080X红龙",2800+,微星京东自营旗舰店,4199.00,2912105
微星（MSI）GeForce GTX 1070 Ti GAMING 256BIT 8GB GDDR5 PCI-E 3.0 吃鸡显卡,"酷炫RGB龙魂灯,龙纹铝制合金强化背板,零噪智能风扇散热技术,PCB强化散热装甲,畅玩吃鸡盛宴!京东热销高规1070Ti钛金",1600+,微星京东自营旗舰店,4699.00,5522917
微星（MSI）GeForce GTX 1070 Ti Titanium  256BIT 8GB GDDR5 PCI-E 3.0 吃鸡显卡,"龙魂RGB LED灯效!坚固金属背板,刀锋4智能风扇,零噪智能风扇散热,多卡支持技术,带您夜夜吃鸡!京东热销高规1070Ti红龙",1100+,微星京东自营旗舰店,4799.00,5522903
微星（MSI）GeForce GTX 1080 Ti GAMING X 11GB 352BIT GDDR5X PCI-E 3.0 旗舰红龙 吃鸡显卡,"酷炫RGB龙魂灯,龙纹铝制合金强化背板,零噪智能风扇散热技术,11GB GDDR5X全新显存技术,非公8+2强化供电设计!升级高规1080Ti飓龙",1400+,微星京东自营旗舰店,7499.00,4742314
EVGA GTX1080 FTW ACX 3.0 RGB LED 1721-1860MHz/10000MHz 电脑吃鸡游戏独立显卡,新一代EVGA ACX 3.0 散热技术，搭载RGB LED设计 ，通过 EVGA Precision XOC重新定义你的游戏！,800+,EVGA京东自营官...,4999.00,2961437
技嘉(GIGABYTE)AORUS GeForce GTX 1080Ti 1569-1683MHz/11010MHz 11G/352bit绝地求生/吃鸡显卡,"AORUS主打显卡!“黄金之心”全金属背板,3*100MM堆栈式风扇散热无忧,炫彩RGB信仰灯!★背板更炫，性能卓越的大雕★",2900+,技嘉京东自营官方旗...,7499.00,4016045
技嘉(GIGABYTE)AORUS GeForce GTX 1080Ti Xtreme Edition 1607-1721MHz/11232MHz 11G/352bit吃鸡显卡,"【货源紧俏，信仰之选】AORUS旗舰登场!背板发光LOGO,“黄金之心”全金属背板!炫彩RGB信仰灯！★抢不到别灰心,可以去看看水雕★",2900+,技嘉京东自营官方旗...,7999.00,4729162
华硕（ASUS）ROG STRIX-GeForce GTX1070-O8G-GAMING 1657-1860MHz 8008MHz GDDR5 猛禽电竞游戏“吃鸡”显卡,"【吃鸡显卡】7相超合金供电!热管直触三风扇,智能安静散热!个性背板+呼吸灯!【点我】新品地狱犬，吃鸡猛兽",3800+,华硕京东自营旗舰店,4699.00,3237242
影驰（Galaxy）GTX 1080Ti大将 1531(1645)MHz/11GHz 11G/352Bit D5X PCI-E显卡,【三年质保】电竞显卡，魔盘超频，12层PCB，强风稳定!★畅玩游戏无压力★WE战队指定吃鸡游戏硬件,400+,影驰京东自营旗舰店,6799.00,5316122
