Python软件开发工程师,深圳·南山区,15k-20k,经验1-3年 / 本科,深信服科技集团,"信息安全,企业服务 / 不需要融资","“平台大,发展快,待遇好,福利棒”",django,https://www.lagou.com/jobs/4009780.html
Python开发工程师,深圳·深圳湾,15k-30k,经验3-5年 / 本科,商汤科技,移动互联网 / B轮,"“人工智能,福利好,技术大牛多,弹性工作”","高级, 大数据, Java",https://www.lagou.com/jobs/4124555.html
高级Python研发工程师,上海·徐汇区,15k-30k,经验3-5年 / 本科,贝米钱包,金融 / A轮,"“商业保险,年度旅游,带薪年病假,弹性工作”","金融, 后端开发, MySQL, redis, 架构",https://www.lagou.com/jobs/3346434.html
Python开发工程师（中级）,深圳·翻身路,10k-15k,经验1-3年 / 本科,极光,"移动互联网,数据服务 / D轮及以上",“五险一金、14薪/年、下午茶、工作餐等等”,"五险一金, 文体活动, 团建旅游, 美味晚餐",https://www.lagou.com/jobs/1411029.html
服务端高级开发工程师Golang/Python,北京·望京,35k-45k,经验3-5年 / 本科,美团点评,"移动互联网,O2O / D轮及以上","“优厚待遇,技术导向”","资深, 大数据, C++, Java",https://www.lagou.com/jobs/4134091.html
技术工程部-python开发工程师,北京·五道口,20k-40k,经验3-5年 / 本科,搜狗,"移动互联网,数据服务 / C轮",“技术先进、团队气氛佳”,"信息安全, 硬件制造, Java, 运维",https://www.lagou.com/jobs/3119907.html
Python开发工程师（高级）,深圳·科技园,30k-50k,经验3-5年 / 本科,Shopee,电子商务 / 上市公司,“东南亚跨境电商平台，发展非常迅速，求大牛”,"PHP, Ruby",https://www.lagou.com/jobs/2666427.html
Python,北京·大山子,15k-30k,经验1-3年 / 不限,洋葱数学,"移动互联网,教育 / C轮","“年假15天,免费早午餐,技术氛围好,弹性不打卡”","中级, 全栈, php, Java",https://www.lagou.com/jobs/3856780.html
Python开发工程师,深圳·科技园,15k-25k,经验3-5年 / 本科,腾讯,"移动互联网 ,游戏 / 上市公司",“福利待遇优厚、大平台”,"免费班车, 成长空间, 年度旅游, 岗位晋升",https://www.lagou.com/jobs/1443983.html
python研发工程师,北京·中关村,15k-20k,经验3-5年 / 大专,先花花,"移动互联网,金融 / B轮",“带薪年假”,"大数据, Java",https://www.lagou.com/jobs/4139271.html
高级Python开发工程师,深圳·香蜜湖,15k-23k,经验1-3年 / 本科,晶泰科技,"企业服务,医疗健康 / B轮","“大牛多,公司氛围好,周末双休,成长快”","云计算, 后端开发, web, Go, django",https://www.lagou.com/jobs/3325916.html
python工程师,北京·望京,20k-40k,经验3-5年 / 本科,作业盒子,"移动互联网,教育 / C轮","“大平台,技术牛,好前景,核心职位”","后端开发, 大数据, 数据挖掘",https://www.lagou.com/jobs/4206282.html
搜狗AI云-Python开发工程师,北京·五道口,15k-25k,经验1-3年 / 本科,搜狗,"移动互联网,数据服务 / C轮",“人工智能、最前沿技术能力、巨大成长空间”,"C++, Java, 算法",https://www.lagou.com/jobs/3482052.html
Python开发,深圳·南油,20k-30k,经验3-5年 / 本科,顺丰科技有限公司,"移动互联网,电子商务 / 不需要融资","“开发,能力论英雄”","云计算, linux",https://www.lagou.com/jobs/4229699.html
Python开发工程师,北京·中关村,15k-25k,经验3-5年 / 本科,汽车之家,"移动互联网,文化娱乐 / 上市公司",“平台好，发展空间大”,golang,https://www.lagou.com/jobs/3015996.html
Python开发工程师（上海）,上海·唐镇,10k-15k,经验不限 / 本科,平安科技,金融 / 不需要融资,“公司发展前景好，福利待遇好”,"金融, 大数据, 数据挖掘, 算法, 数据结构",https://www.lagou.com/jobs/3215849.html
